Appliance,Power Draw (W)
Coffee Maker,1000.00
Microwave Oven,1500.00
Toaster Oven,1051.00
18-W Compact Fluorescent,18.00
60-W Incandescent Lamp,60.00
Torchiere Lamp-Halogen,300.00
Hair Dryer,710.00
Waterbed Heater,350.00
Desktop PC,75.00
Notebook PC,25.00
Desktop Computer Monitor,42.00
Stereo System,33.00
Television Small Analog,86.00
Television Large Digital,234.00
Set-top Box,20.00
DVD/VCR,17.00
Video Game System,36.00
Dehumidifier,600.00
Furnace Fan,295.00
Ceiling Fan (only fan motor),35.00
Space Heater,1319.80
Water Heater,4500.00
Portable Spa,4350.00
Rechargeable Power Tool,12.90
Vacuum,542.40
Pool Pump,1000.00
Lawn Sprinkler,10.60
Aquarium Equipment,23.80
Washing Machine,500.00
Water Feature,35.00
Toaster,800.00
Scanner,10.00
Home Internet Router,5.00
